Fund Holdings as of,"25/Aug/2026"

Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"WBD","WARNER BROS. DISCOVERY SERIES A","EQUITY","Communication","Equity","95,209,113.70","0.32","95,209,113.70","3,294,433.00","28.90","United States","NASDAQ","USD"
"HON","HONEYWELL INTERNATIONAL INC","EQUITY","Industrials","Equity","90,583,011.84","0.31","90,583,011.84","419,988.00","215.68","United States","NASDAQ","USD"
"LITE","LUMENTUM HOLDINGS","EQUITY","Information Technology","Equity","90,355,082.52","0.30","90,355,082.52","102,031.00","885.57","United States","NASDAQ","USD"
"PCAR","PACCAR INC","EQUITY","Industrials","Equity","88,594,653.42","0.30","88,594,653.42","685,611.00","129.22","United States","NASDAQ","USD"
"AEP","AMERICAN ELECTRIC POWER INC","EQUITY","Utilities","Equity","87,776,621.36","0.30","87,776,621.36","714,968.00","122.77","United States","NASDAQ","USD"
"MPWR","MONOLITHIC POWER SYSTEMS INC","EQUITY","Information Technology","Equity","83,446,037.75","0.28","83,446,037.75","63,985.00","1,304.15","United States","NASDAQ","USD"
"BKR","BAKER HUGHES CLASS A","EQUITY","Energy","Equity","81,109,756.42","0.27","81,109,756.42","1,312,031.00","61.82","United States","NASDAQ","USD"
"PDD","PDD HOLDINGS ADS","EQUITY","Consumer Discretionary","Equity","77,687,883.00","0.26","77,687,883.00","885,332.00","87.75","China","NASDAQ","USD"
"FAST","FASTENAL","EQUITY","Industrials","Equity","76,358,505.60","0.26","76,358,505.60","1,517,760.00","50.31","United States","NASDAQ","USD"
"NXPI","NXP SEMICONDUCTORS NV","EQUITY","Information Technology","Equity","75,329,457.50","0.25","75,329,457.50","335,170.00","224.75","United States","NASDAQ","USD"
"TER","TERADYNE","EQUITY","Information Technology","Equity","75,149,296.55","0.25","75,149,296.55","205,085.00","366.43","United States","NASDAQ","USD"
"FANG","DIAMONDBACK ENERGY","EQUITY","Energy","Equity","73,843,563.69","0.25","73,843,563.69","369,421.00","199.89","United States","NASDAQ","USD"
"PYPL","PAYPAL HOLDINGS","EQUITY","Financials","Equity","71,378,108.36","0.24","71,378,108.36","1,146,268.00","62.27","United States","NASDAQ","USD"
"ADSK","AUTODESK","EQUITY","Information Technology","Equity","69,883,356.27","0.24","69,883,356.27","278,187.00","251.21","United States","NASDAQ","USD"
"HONA","HONEYWELL AEROSPACE INC","EQUITY","Industrials","Equity","67,349,275.68","0.23","67,349,275.68","419,988.00","160.36","United States","NASDAQ","USD"
"AXON","AXON ENTERPRISE","EQUITY","Industrials","Equity","64,962,018.54","0.22","64,962,018.54","105,929.00","613.26","United States","NASDAQ","USD"
"CCEP","COCA COLA EUROPACIFIC PARTNERS PLC","EQUITY","Consumer Staples","Equity","63,911,169.40","0.22","63,911,169.40","581,804.00","109.85","Netherlands","NASDAQ","USD"
"NBIS","NEBIUS NV CLASS A","EQUITY","Information Technology","Equity","63,824,365.92","0.21","63,824,365.92","287,536.00","221.97","Netherlands","NASDAQ","USD"
"ALAB","ASTERA LABS","EQUITY","Information Technology","Equity","63,627,906.80","0.21","63,627,906.80","225,112.00","282.65","United States","NASDAQ","USD"
"XEL","XCEL ENERGY INC","EQUITY","Utilities","Equity","62,713,555.83","0.21","62,713,555.83","812,457.00","77.19","United States","NASDAQ","USD"
"USD","USD CASH","CASH","Cash and/or Derivatives","Cash","61,484,582.56","0.21","61,484,582.56","61,484,583.00","100.00","United States","-","USD"
"EXC","EXELON CORP","EQUITY","Utilities","Equity","59,935,655.64","0.20","59,935,655.64","1,352,644.00","44.31","United States","NASDAQ","USD"
"FER","FERROVIAL NV","EQUITY","Industrials","Equity","59,718,151.68","0.20","59,718,151.68","947,456.00","63.03","Spain","NASDAQ","USD"
"PAYX","PAYCHEX","EQUITY","Industrials","Equity","58,557,690.01","0.20","58,557,690.01","468,499.00","124.99","United States","NASDAQ","USD"
"IDXX","IDEXX LABORATORIES INC","EQUITY","Health Care","Equity","57,619,597.61","0.19","57,619,597.61","104,761.00","550.01","United States","NASDAQ","USD"
"KDP","KEURIG DR PEPPER INC","EQUITY","Consumer Staples","Equity","56,533,957.76","0.19","56,533,957.76","1,775,564.00","31.84","United States","NASDAQ","USD"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE","EQUITY","Communication","Equity","56,496,006.85","0.19","56,496,006.85","242,545.00","232.93","United States","NASDAQ","USD"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","FUND","Cash and/or Derivatives","Money Market","56,399,369.76","0.19","56,399,369.76","56,399,370.00","1.00","Ireland","-","USD"
"MSTR","STRATEGY INC CLASS A","EQUITY","Information Technology","Equity","56,046,557.49","0.19","56,046,557.49","441,903.00","126.83","United States","NASDAQ","USD"
"ODFL","OLD DOMINION FREIGHT LINE","EQUITY","Industrials","Equity","54,217,429.04","0.18","54,217,429.04","273,356.00","198.34","United States","NASDAQ","USD"
"ROP","ROPER TECHNOLOGIES","EQUITY","Information Technology","Equity","54,039,446.73","0.18","54,039,446.73","130,729.00","413.37","United States","NASDAQ","USD"
